tz,electric_power
2018-09-01 00:30:00,0.2044417134392149
2018-09-01 01:30:00,0.19981116154958523
2018-09-01 02:30:00,0.1969292212710032
2018-09-01 03:30:00,0.2326216685363729
2018-09-01 04:30:00,0.15029580293478162
2018-09-01 05:30:00,0.10053512676858256
2018-09-01 06:30:00,0.1311395187399249
2018-09-01 07:30:00,0.16776837497811803
2018-09-01 08:30:00,0.1792635465900494
2018-09-01 09:30:00,0.17251552771588896
2018-09-01 10:30:00,0.1369963544389301
2018-09-01 11:30:00,0.11698040329591075
2018-09-01 12:30:00,0.11246153289313066
2018-09-01 13:30:00,0.09766003826887815
2018-09-01 14:30:00,0.10951626924579339
2018-09-01 15:30:00,0.11927812510979807
2018-09-01 16:30:00,0.10795228769544751
2018-09-01 17:30:00,0.1588025352945759
2018-09-01 18:30:00,0.2597937158855861
2018-09-01 19:30:00,0.24844373702326816
2018-09-01 20:30:00,0.2651836127712164
2018-09-01 21:30:00,0.18265066092605897
2018-09-01 22:30:00,0.18069473182799678
2018-09-01 23:30:00,0.18588876768314488
2018-09-02 00:30:00,0.18416899742139092
2018-09-02 01:30:00,0.17005737169827562
2018-09-02 02:30:00,0.17471652958854822
2018-09-02 03:30:00,0.21268826122382123
2018-09-02 04:30:00,0.11745791096572766
2018-09-02 05:30:00,0.08547628059253398
2018-09-02 06:30:00,0.11194976969919423
2018-09-02 07:30:00,0.08720427920518059
2018-09-02 08:30:00,0.10107416928156443
2018-09-02 09:30:00,0.12961624503620817
2018-09-02 10:30:00,0.11066021976640172
2018-09-02 11:30:00,0.10435547506253862
2018-09-02 12:30:00,0.11986234858631617
2018-09-02 13:30:00,0.10714037506440688
2018-09-02 14:30:00,0.1263554159198943
2018-09-02 15:30:00,0.09390041960357909
2018-09-02 16:30:00,0.10870750474445456
2018-09-02 17:30:00,0.1958921669577962
2018-09-02 18:30:00,0.279377613359852
2018-09-02 19:30:00,0.27972129874356977
2018-09-02 20:30:00,0.282278747325317
2018-09-02 21:30:00,0.18420851862093812
2018-09-02 22:30:00,0.18469837769138753
2018-09-02 23:30:00,0.1824178824844327
2018-09-03 00:30:00,0.18049301855274003
2018-09-03 01:30:00,0.19047903937598587
2018-09-03 02:30:00,0.2012429087033496
2018-09-03 03:30:00,0.1868808121200587
2018-09-03 04:30:00,0.13065052920081444
2018-09-03 05:30:00,0.20627011190638234
2018-09-03 06:30:00,0.48871597671624434
2018-09-03 07:30:00,0.6002845609349716
2018-09-03 08:30:00,0.654018964887833
2018-09-03 09:30:00,0.6613284784656428
2018-09-03 10:30:00,0.6689301155362042
2018-09-03 11:30:00,0.6599898404211242
2018-09-03 12:30:00,0.6697818884092595
2018-09-03 13:30:00,0.6654577825559107
2018-09-03 14:30:00,0.6481084788521612
2018-09-03 15:30:00,0.6545600996270351
2018-09-03 16:30:00,0.4276756047613661
2018-09-03 17:30:00,0.2578110074811448
2018-09-03 18:30:00,0.7276525388153141
2018-09-03 19:30:00,0.9573104664535466
2018-09-03 20:30:00,0.558036189442479
2018-09-03 21:30:00,0.20430255831161892
2018-09-03 22:30:00,0.207649709777042
2018-09-03 23:30:00,0.19326361237683054
2018-09-04 00:30:00,0.2090092221972193
2018-09-04 01:30:00,0.2003295613572842
2018-09-04 02:30:00,0.2025394252648267
2018-09-04 03:30:00,0.5364781067989042
2018-09-04 04:30:00,0.4840354393085784
2018-09-04 05:30:00,0.4895326327459699
2018-09-04 06:30:00,0.5194186000322762
2018-09-04 07:30:00,0.6005126500537359
2018-09-04 08:30:00,0.6414187563031639
2018-09-04 09:30:00,0.7167274127891523
2018-09-04 10:30:00,0.7777428437054446
2018-09-04 11:30:00,0.7821771806715261
2018-09-04 12:30:00,0.7866598920821954
2018-09-04 13:30:00,0.708540333083969
2018-09-04 14:30:00,0.685952318791418
2018-09-04 15:30:00,0.6931669948498729
2018-09-04 16:30:00,0.5681657861172664
2018-09-04 17:30:00,0.5088051370899582
2018-09-04 18:30:00,0.33597462667930467
2018-09-04 19:30:00,0.2978800228125209
2018-09-04 20:30:00,0.29592026161956175
2018-09-04 21:30:00,0.21205770033339322
2018-09-04 22:30:00,0.2329107522434457
2018-09-04 23:30:00,0.21175692243877942
2018-09-05 00:30:00,0.21021617240198465
2018-09-05 01:30:00,0.2003724676442893
2018-09-05 02:30:00,0.21143781106212645
2018-09-05 03:30:00,0.21123361664113638
2018-09-05 04:30:00,0.15680567738196594
2018-09-05 05:30:00,0.21048255068603527
2018-09-05 06:30:00,0.46595075087991633
2018-09-05 07:30:00,0.5268668495811881
2018-09-05 08:30:00,0.5371375422266769
2018-09-05 09:30:00,0.5833170400230117
2018-09-05 10:30:00,0.5606665726354119
2018-09-05 11:30:00,0.5695308562455086
2018-09-05 12:30:00,0.6248582268748502
2018-09-05 13:30:00,0.5801476455310337
2018-09-05 14:30:00,0.524640808758928
2018-09-05 15:30:00,0.5400323239196148
2018-09-05 16:30:00,0.4105124663580333
2018-09-05 17:30:00,0.44134241607479874
2018-09-05 18:30:00,0.4596555182064095
2018-09-05 19:30:00,0.44027899149608807
2018-09-05 20:30:00,0.42156105968369806
2018-09-05 21:30:00,0.3466945880343286
2018-09-05 22:30:00,0.34766538862100127
2018-09-05 23:30:00,0.34793756158386735
2018-09-06 00:30:00,0.34751005660141043
2018-09-06 01:30:00,0.3379894545981279
2018-09-06 02:30:00,0.3364935301430432
2018-09-06 03:30:00,0.3565805995932818
2018-09-06 04:30:00,0.2997799537064614
2018-09-06 05:30:00,0.30053042222494764
2018-09-06 06:30:00,0.42889258363119254
